Customer_Id,Customer_Fname,Customer_Lname,Customer_Email,Customer_Password,Customer_Segment,Customer_Street,Customer_Country,Customer_City,Customer_State,Customer_Zipcode,Latitude,Longitude
20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Consumer,5365 Noble Nectar Island,Puerto Rico,Caguas,PR,725,18.2514534,-66.03705597
8460,Nicole,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,9551 Cotton Island Ridge,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
19491,Gillian,Maldonado,XXXXXXXXX,XXXXXXXXX,Consumer,8510 Round Bear Gate,EE. UU.,San Jose,CA,95125,37.29223251,-121.881279
19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,Home Office,3200 Amber Bend,EE. UU.,Los Angeles,CA,90027,34.12594605,-118.2910156
19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Corporate,8671 Iron Anchor Corners,Puerto Rico,Caguas,PR,725,18.25376892,-66.03704834
19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,Consumer,2122 Hazy Corner,EE. UU.,Tonawanda,NY,14150,43.01396942,-78.87906647
8460,Nicole,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,9551 Cotton Island Ridge,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
2261,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,1819 Noble Ramp,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
11906,Mary,Mendoza,XXXXXXXXX,XXXXXXXXX,Consumer,2264 Silent Freeway,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
8460,Nicole,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,9551 Cotton Island Ridge,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
19483,Germane,Short,XXXXXXXXX,XXXXXXXXX,Corporate,4058 Quiet Heights,Puerto Rico,Caguas,PR,725,18.28284454,-66.03705597
11906,Mary,Mendoza,XXXXXXXXX,XXXXXXXXX,Consumer,2264 Silent Freeway,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
11906,Mary,Mendoza,XXXXXXXXX,XXXXXXXXX,Consumer,2264 Silent Freeway,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
7257,Jacqueline,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2514 Green Quail Falls,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
14697,Brenna,Wilson,XXXXXXXXX,XXXXXXXXX,Corporate,1819 Noble Ramp,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
10926,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1927 Indian Impasse,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
10926,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1927 Indian Impasse,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
10926,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1927 Indian Impasse,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
10926,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,1927 Indian Impasse,Puerto Rico,Aguadilla,PR,603,18.44935989,-67.15180206
19474,Kim,Simon,XXXXXXXXX,XXXXXXXXX,Consumer,1723 Tawny Via,EE. UU.,Mount Prospect,IL,60056,42.04830551,-87.96134186
19473,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,Corporate,7111 Silent Fox Gardens,EE. UU.,Long Beach,CA,90813,33.78245163,-118.1922455
10681,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
8709,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,2930 Middle Wagon  Cape,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
19470,Lucy,Mcknight,XXXXXXXXX,XXXXXXXXX,Corporate,1082 Quiet Treasure Link,Puerto Rico,Caguas,PR,725,18.20733643,-66.03705597
19469,Simone,Vance,XXXXXXXXX,XXXXXXXXX,Corporate,3176 Round Gate,EE. UU.,Billings,MT,59102,45.78831101,-108.5594101
11909,Mary,Nguyen,XXXXXXXXX,XXXXXXXXX,Corporate,4021 Cozy Bluff Boulevard,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
11909,Mary,Nguyen,XXXXXXXXX,XXXXXXXXX,Corporate,4021 Cozy Bluff Boulevard,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
19466,Hannah,Velez,XXXXXXXXX,XXXXXXXXX,Corporate,8271 Tawny Elk Abbey,Puerto Rico,Caguas,PR,725,18.27022362,-66.0370636
19465,Evelyn,Kelly,XXXXXXXXX,XXXXXXXXX,Corporate,3931 Gentle Ramp,EE. UU.,Roseville,MI,48066,41.86886215,-84.57365418
19464,Jael,Mcfarland,XXXXXXXXX,XXXXXXXXX,Consumer,9699 Honey Rise,EE. UU.,Bellflower,CA,90706,33.90942383,-118.1253586
11909,Mary,Nguyen,XXXXXXXXX,XXXXXXXXX,Corporate,4021 Cozy Bluff Boulevard,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
11909,Mary,Nguyen,XXXXXXXXX,XXXXXXXXX,Corporate,4021 Cozy Bluff Boulevard,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
19461,Basia,Watts,XXXXXXXXX,XXXXXXXXX,Consumer,5918 Golden Beacon Freeway,Puerto Rico,Caguas,PR,725,18.28713608,-66.03705597
1527,Mary,Fernandez,XXXXXXXXX,XXXXXXXXX,Consumer,6267 Rustic Fox Swale,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
19454,Karina,Prince,XXXXXXXXX,XXXXXXXXX,Consumer,2556 Umber Autoroute,EE. UU.,Newark,DE,19702,39.68188095,-75.64421082
1527,Mary,Fernandez,XXXXXXXXX,XXXXXXXXX,Consumer,6267 Rustic Fox Swale,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
1527,Mary,Fernandez,XXXXXXXXX,XXXXXXXXX,Consumer,6267 Rustic Fox Swale,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
19451,Adele,Pennington,XXXXXXXXX,XXXXXXXXX,Home Office,833 Amber Anchor Glen,EE. UU.,Atlanta,GA,30318,33.81632614,-84.44550324
19450,Sybill,Spencer,XXXXXXXXX,XXXXXXXXX,Home Office,830 Quaking Bear Grounds,Puerto Rico,Caguas,PR,725,18.24103928,-66.0370636
19449,Kay,Sandoval,XXXXXXXXX,XXXXXXXXX,Consumer,1509 Middle Oak Isle,EE. UU.,Fremont,CA,94539,37.49027634,-121.9271088
1527,Mary,Fernandez,XXXXXXXXX,XXXXXXXXX,Consumer,6267 Rustic Fox Swale,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
10681,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
19446,Taylor,Wood,XXXXXXXXX,XXXXXXXXX,Corporate,9879 Harvest Deer Farms,EE. UU.,Dallas,TX,75211,32.753685,-96.86553955
,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
4741,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,9731 Honey Fox Towers,Puerto Rico,Caguas,PR,725,18.23557282,-66.3706131
10681,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
9702,Katherine,Tyler,XXXXXXXXX,XXXXXXXXX,Home Office,8369 Sunny Crossing,Puerto Rico,Caguas,PR,725,18.27383804,-66.37063599
10681,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
8667,Michael,Williams,XXXXXXXXX,XXXXXXXXX,Corporate,5589 Cinder Berry Heights,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
3296,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,8205 Silver Grove Row,Puerto Rico,Caguas,PR,725,18.23466301,-66.37059784
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
9012,Pamela,Gonzalez,XXXXXXXXX,XXXXXXXXX,Home Office,8093 Sleepy Robin Drive,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
8667SD,Michael,Williams,XXXXXXXXX,XXXXXXXXX,Corporate,5589 Cinder Berry Heights,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
5197,Brenda,Jordan,XXXXXXXXX,XXXXXXXXX,Home Office,4692 Jagged Thicket,Puerto Rico,Caguas,PR,725,18.2689991,-66.37049866
10681,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
5465,Mary,Jones,XXXXXXXXX,XXXXXXXXX,Corporate,7639 Pleasant Canyon,EE. UU.,Alameda,CA,94501,37.76644898,-122.2498398
10681,Mary,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,1023 Merry Canyon,EE. UU.,Alameda,CA,94501,37.77148056,-122.2670288
